"Player","My C Won","Hands","Fold to Any PFR","Fold to F CBet","Att To Steal","PFR","VPIP","WTSD %","WSD","WSD (ns)","Total AF","Total AFq"
"fuzzinhell","€1.37","123","90.00","50.00","6.25","4.88","15.45","41.67","70.00","62.50","2.50","59.52"
"CapaHck13rus","€0.07","70","76.00","50.00","5.88","7.25","14.49","28.57","50.00","100.00","1.00","33.33"
"77nero77","-€2.75","178","65.38","75.00","5.88","2.86","40.68","27.50","40.91","42.86","1.59","39.09"
"sergvolga","€0.27","67","53.57","71.43","5.88","9.09","58.21","17.07","42.86","50.00","3.22","50.88"
"mamaka_nd","-€0.16","64","95.45","100.00","5.88","1.61","4.76","0.00","-","-","1.00","20.00"
"long6688","€7.18","65","92.00","100.00","5.88","6.35","12.70","40.00","75.00","75.00","3.00","56.25"
"vadjaaa","-€0.34","69","60.00","0.00","5.26","2.90","13.04","64.71","63.64","50.00","1.13","45.00"
"13pobeda13","€2.63","69","58.06","83.33","5.26","10.61","37.88","37.50","66.67","60.00","1.63","41.94"
"sheart268","€2.30","453","87.41","75.00","4.76","5.99","9.51","29.03","61.11","80.00","2.55","37.33"
"ASteCom","-€0.76","202","93.55","100.00","4.35","4.50","7.00","30.00","83.33","100.00","2.67","33.33"
"ezoterica","€3.74","761","87.90","92.31","3.57","5.96","10.05","22.64","66.67","63.64","3.75","38.46"
"checkcall64","-€0.61","77","41.67","46.67","3.45","2.60","63.64","37.04","45.00","44.44","1.39","43.84"
"Muppet5265","-€0.05","84","81.25","100.00","0.00","10.71","32.14","26.92","57.14","60.00","3.75","50.00"
"adeea_17","-€1.16","187","87.14","100.00","0.00","0.54","9.24","0.00","-","-","0.50","4.35"
"BOBA878","-€0.52","108","87.80","66.67","0.00","3.74","14.95","14.29","100.00","100.00","2.50","27.78"
"zhangxuanye","-€1.86","92","59.38","62.50","0.00","2.17","41.30","29.27","33.33","33.33","0.74","24.14"
"Steiway","-€0.81","72","71.43","66.67","0.00","0.00","16.90","18.75","66.67","66.67","0.36","15.38"
"kcv644","€0.43","73","89.47","-","0.00","4.23","18.31","33.33","50.00","100.00","2.33","41.18"
"corteminelli","€0.72","62","36.84","55.56","0.00","8.06","61.29","31.58","50.00","60.00","0.79","27.78"
"Edward.83","€2.39","63","73.91","33.33","0.00","3.17","31.75","41.18","57.14","60.00","1.00","37.04"
